Comments,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
Taste super delicious too,0.0,0.208,0.792,0.8225,positive
Wow,0.0,0.0,1.0,0.5859,positive
The non-sticky texture of Golden Penny Macaroni is so good!,0.0,0.691,0.309,0.6166,positive
Very delicious,0.0,0.2,0.8,0.6115,positive
After eating Macaroni I sleep very well.,0.0,0.715,0.285,0.3384,neutral
Non sticky texture,0.0,1.0,0.0,0.0,neutral
This delicious,0.0,0.213,0.787,0.5719,positive
Delicious!,0.0,0.0,1.0,0.6114,positive
That's my favorites than spaghetti,0.0,0.588,0.412,0.4215,neutral
My favorite,0.0,0.25,0.75,0.4588,neutral
Lovely,0.0,0.0,1.0,0.5859,positive
Bring it to our local market,0.0,1.0,0.0,0.0,neutral
Need more pasta,0.0,1.0,0.0,0.0,neutral
Pls  how is cous cous been prepared,0.0,0.61,0.39,0.296,neutral
I love yummy yummy dishes pizza paa kilode,0.0,0.312,0.688,0.9001,positive
Yummy love this method of cooking,0.0,0.345,0.655,0.8225,positive
Nice one anyway,0.0,0.417,0.583,0.4215,neutral
Yummy,0.0,0.0,1.0,0.5267,positive
I can't find it in market any more,0.0,1.0,0.0,0.0,neutral
Easy to cock,0.291,0.182,0.527,0.3182,neutral
yummy,0.0,0.0,1.0,0.5267,positive
Yes I love golden penny spaghetti ,0.0,0.367,0.633,0.7845,positive
Like,0.0,0.0,1.0,0.3612,neutral
Best pasta,0.0,0.192,0.808,0.6369,positive
Golden Penny Spaghetti is the best,0.0,0.543,0.457,0.6369,positive
Yes my dear you are right,0.0,0.43,0.57,0.6486,positive
"Golden Penny is the best pasta ,it doesn't clog and tastes great, unfortunately it is becoming scarce in Gombe where I'm staying.",0.081,0.64,0.279,0.7845,positive
Am imagining it already and it's really delicious,0.0,0.637,0.363,0.6115,positive
I love golden penny spaghetti,0.0,0.488,0.512,0.6369,positive
Yes so,0.0,0.27,0.73,0.4019,neutral
I have oo,0.0,1.0,0.0,0.0,neutral
Yes so with golden penny,0.0,0.597,0.403,0.4019,neutral
The best pasta,0.0,0.323,0.677,0.6369,positive
The best of all,0.0,0.417,0.583,0.6369,positive
Yeah my favorite,0.0,0.161,0.839,0.6369,positive
Can't get enough,0.0,1.0,0.0,0.0,neutral
Yes,0.0,0.0,1.0,0.4019,neutral
Golden penny bringing out delicious taste,0.0,0.575,0.425,0.5719,positive
The only spaghetti wey get vibe.,0.0,1.0,0.0,0.0,neutral
Hw much is the price per caton,0.0,1.0,0.0,0.0,neutral
Golden penny,0.0,1.0,0.0,0.0,neutral
Golden penny my favorite among all,0.0,0.625,0.375,0.4588,neutral
Music Chef Loves This,0.0,0.448,0.552,0.5719,positive
Delicious,0.0,0.0,1.0,0.5719,positive
"Honestly, I'm drooling just looking at this!",0.0,0.646,0.354,0.5093,positive
After you na' you golden penny,0.0,1.0,0.0,0.0,neutral
Not now but I have,0.0,1.0,0.0,0.0,neutral
Not yet,0.0,1.0,0.0,0.0,neutral
Golden penny my one and only favorite among all,0.0,0.727,0.273,0.4588,neutral
Yes ..oooooooh,0.0,0.27,0.73,0.4019,neutral
Yes ooooo,0.0,0.27,0.73,0.4019,neutral
Always my chioce,0.0,1.0,0.0,0.0,neutral
Very. Very. . good,0.0,0.466,0.534,0.5334,positive
Yes oooo,0.0,0.27,0.73,0.4019,neutral
I want oo,0.0,0.606,0.394,0.0772,neutral
Nice,0.0,0.0,1.0,0.4215,neutral
"The feeling I do get whenever I cooked Spaghetti is that feeling of being a chef in my own kitchen, I play with my spaghetti using veggies and proteins to give that inviting and eye catching presentation which helps to nourish my children. They always …",0.0,0.799,0.201,0.8074,positive
Very nice pasta,0.0,0.393,0.607,0.4754,neutral
Nice taste and yummy,0.0,0.244,0.756,0.7351,positive
Love,0.0,0.0,1.0,0.6369,positive
I really love it,0.0,0.4,0.6,0.6697,positive
Fulfilled,0.0,0.0,1.0,0.4215,neutral
Nice taste,0.0,0.263,0.737,0.4215,neutral
The feeling of want to have more n more n more n more n more n moreeeee,0.0,0.843,0.157,0.2023,neutral
Best spaghetti so far,0.0,0.417,0.583,0.6369,positive
Relaxation feelings,0.0,0.227,0.773,0.5267,positive
Very Delicious,0.0,0.2,0.8,0.6115,positive
Lalalala so tasty I want more of it,0.0,0.817,0.183,0.144,neutral
The nourishing feeling,0.0,0.571,0.429,0.128,neutral
It makes me and my family fill good and healthy,0.0,0.588,0.412,0.6808,positive
It saves my time,0.0,1.0,0.0,0.0,neutral
It gives my children energy and happiness,0.0,0.467,0.533,0.6908,positive
Very well,0.0,0.295,0.705,0.3384,neutral
Easy to cook nice taste & yummy,0.0,0.305,0.695,0.8442,positive
It's makes want to eat more,0.0,0.794,0.206,0.0772,neutral
Great taste,0.0,0.196,0.804,0.6249,positive
It makes my day,0.0,1.0,0.0,0.0,neutral
For me it is fulfillment of nourishment,0.0,1.0,0.0,0.0,neutral
Irresistible...so Irresistible,0.0,0.294,0.706,0.34,neutral
"Beautiful, I alwayslike ur post",0.0,0.506,0.494,0.5994,positive
Nice and very yummy,0.0,0.235,0.765,0.7574,positive
Satisfying,0.0,0.0,1.0,0.4588,neutral
It makes me feel  so cool.,0.0,0.626,0.374,0.4572,neutral
Satisfy,0.0,0.0,1.0,0.4588,neutral
Masalvita,0.0,1.0,0.0,0.0,neutral
Send one let me taste it first before i will know the feeling,0.0,0.889,0.111,0.128,neutral
Pls it number I need market,0.0,0.606,0.394,0.1531,neutral
Pls can u gv contact of a  supplier who sells golden penny couscous in Ibadan pls,0.0,0.843,0.157,0.1531,neutral
Spaghetti or nothing,0.0,1.0,0.0,0.0,neutral
Green,0.0,1.0,0.0,0.0,neutral
Red jollof color,0.0,1.0,0.0,0.0,neutral
Green fried spaghetti,0.0,1.0,0.0,0.0,neutral
Red,0.0,1.0,0.0,0.0,neutral
Red colour,0.0,1.0,0.0,0.0,neutral
I love this,0.0,0.323,0.677,0.6369,positive
Nice one,0.0,0.263,0.737,0.4215,neutral
Abdulhadi Mohammed,0.0,1.0,0.0,0.0,neutral
I need a pack oh I love spangetti so much,0.0,0.682,0.318,0.6369,positive
"I pack of Golden Penny no de belle full me again, just one sitting I can finish it up.  I don't eat too much but you guys have reduced the quantity of spaghetti in a pack........it's not fair at all",0.096,0.904,0.0,-0.4666,neutral
Please bless me with Golden Penny pasta,0.0,0.495,0.505,0.6249,positive
Love this style of spangetti yummy,0.0,0.345,0.655,0.8225,positive
Golden penny spaghetti jollof,0.0,1.0,0.0,0.0,neutral
"Wow what a coincidence, gold penny spaghetti with fish",0.0,0.678,0.322,0.5859,positive
Golden penny and meat.,0.0,1.0,0.0,0.0,neutral
Golden Penny Spaghettini with Suya spiced with pepper,0.0,1.0,0.0,0.0,neutral
Spicy and meaty,0.0,1.0,0.0,0.0,neutral
Golden Penny My Best Pasta,0.0,0.488,0.512,0.6369,positive
Golden penny pasta so delicious,0.0,0.458,0.542,0.6948,positive
Always the best,0.0,0.323,0.677,0.6369,positive
Cooking it tomorrow spicy,0.0,1.0,0.0,0.0,neutral
Spicy,0.0,1.0,0.0,0.0,neutral
I'm cooking to raer,0.0,1.0,0.0,0.0,neutral
Yummy yummy,0.0,0.0,1.0,0.7783,positive
Spicy  garnished with Veggies,0.0,1.0,0.0,0.0,neutral
Cooking breakfast for a lady,0.0,1.0,0.0,0.0,neutral
Nothing sweet like golden penny,0.605,0.395,0.0,-0.5559,negative
"GOLDEN PENNY PASTA,,,CARBAG,,,CARROT,GREEN BEANS,,,",0.0,1.0,0.0,0.0,neutral
One constant meal in my home,0.0,1.0,0.0,0.0,neutral
I love the three methods,0.0,0.488,0.512,0.6369,positive
Golden penny spaghetti,0.0,1.0,0.0,0.0,neutral
Very nice,0.0,0.244,0.756,0.4754,neutral
My Tuesday breakfast,0.0,1.0,0.0,0.0,neutral
Enjoy,0.0,0.0,1.0,0.4939,neutral
Meaty please,0.0,0.303,0.697,0.3182,neutral
Meaty and spicy,0.0,1.0,0.0,0.0,neutral
Am cooking golden penny pasta and couscous!.. try mixing it...VERY DELICIOUS,0.0,0.679,0.321,0.6932,positive
Nice food,0.0,0.263,0.737,0.4215,neutral
Spaghetti mix with fish and onions,0.0,1.0,0.0,0.0,neutral
Tasty,0.0,1.0,0.0,0.0,neutral
Cooking nothing as of now,0.0,1.0,0.0,0.0,neutral
Only the northern people now this well,0.0,0.716,0.284,0.3346,neutral
Make una come learn o,0.0,1.0,0.0,0.0,neutral
Thank you,0.0,0.286,0.714,0.3612,neutral
"wow,am sure it will be delicious .",0.0,0.455,0.545,0.7184,positive
"Cous cous my favourite, my problem is I can't find it around my area please let it circulates, advertise it more onitsha, Lagos,Calabar and so on",0.093,0.828,0.079,-0.1027,neutral
I've never eaten it in my life,0.0,1.0,0.0,0.0,neutral
Yes ok,0.0,0.0,1.0,0.5994,positive
Very Delicious.,0.0,0.2,0.8,0.6115,positive
What is couscous please,0.0,0.566,0.434,0.3182,neutral
Thanks,0.0,0.0,1.0,0.4404,neutral
Make the perfect  Couscous every single time by using this simple trick,0.081,0.671,0.248,0.5423,positive
wow,0.0,0.0,1.0,0.5859,positive
has been in my school since yesterday and today these were what I got I did series of video regarding the Cooking Competition I wasn't chosen it fine anyways.,0.054,0.946,0.0,-0.1511,neutral
I never try this,0.0,1.0,0.0,0.0,neutral
Wats couscous pls,0.0,0.606,0.394,0.0772,neutral
Very Nutritious,0.0,1.0,0.0,0.0,neutral
Let's go,0.0,1.0,0.0,0.0,neutral
Easy to cook,0.0,0.408,0.592,0.4404,neutral
Super product,0.0,0.204,0.796,0.5994,positive
Stir fried,0.0,1.0,0.0,0.0,neutral
"Stir-fry, what happened to eliche?,I hardly see it...",0.0,1.0,0.0,0.0,neutral
I Love you this macaroni,0.0,0.488,0.512,0.6369,positive
Stir fry,0.0,1.0,0.0,0.0,neutral
I concur to macaroni,0.0,1.0,0.0,0.0,neutral
Good product,0.0,0.256,0.744,0.4404,neutral
I love,0.0,0.192,0.808,0.6369,positive
why is macaroni not in the market??,0.0,1.0,0.0,0.0,neutral
Macaroni,0.0,1.0,0.0,0.0,neutral
I love this product,0.0,0.417,0.583,0.6369,positive
Stair fried,0.0,1.0,0.0,0.0,neutral
"Best one yet, love the nutrition facts!",0.0,0.365,0.635,0.8655,positive
Hmmm,0.0,1.0,0.0,0.0,neutral
It's amazing,0.0,0.208,0.792,0.5859,positive
I love the spaghetti more than any other.pls keep it up,0.0,0.704,0.296,0.6369,positive
"Golden Penny's products are excellent. I like the quality. But please don't go into the present price increase madness in Nigeria, be considerate of the low income earners, they also have a life to live and you will have abundant blessings from God to reap for being considerate and compassionate in allocating prices to products.",0.081,0.551,0.368,0.9716,positive
Golden penny is my choice. Only that you dont give ANY gift for patronage,0.156,0.844,0.0,-0.3412,neutral
Work on your noodles seasoning ....I stopped eating it ever since you changed it. Even I can't stand it being cooked around me. The aroma isn't for me,0.066,0.934,0.0,-0.2263,neutral
Your products are great. How can I get your margarine here in Abeokuta.,0.0,0.745,0.255,0.6249,positive
My love for golden penny especially spaghetti or macaroni no other brand give me the best spaghetti,0.089,0.569,0.341,0.802,positive
"Spaghetti, macoroni nd cous cous are the best but they are costly unlike before",0.099,0.741,0.16,0.25,neutral
Nice abeg increase the quantity of your spaghetti macaroni and noodles self,0.0,0.662,0.338,0.6249,positive
"I love d aroma of golden penny chicken spices noodles,served with eggs.delicious.",0.0,0.724,0.276,0.6369,positive
Congratulations your semovita with a little oil or butter turn it into pounded yam try it infact all their products are wonderful,0.0,0.725,0.275,0.8225,positive
"Best product so far all round except if they didn't try producing any thing but as long as they produce its always of the best quality, sugar, spaghetti, noodles, couscous, flour, cooking oil, butter, etc, the best keep the good work",0.0,0.672,0.328,0.964,positive
"Quality, nutritious meals are at the heart of great family mealtime moments.",0.0,0.546,0.454,0.8519,positive
Golden penny is food that  good for healthy but the price of tighning is very high and scarce in the market now,0.0,0.84,0.16,0.4215,neutral
Golden penny pastas are equal to none,0.0,1.0,0.0,0.0,neutral
"The best food industry in Nigeria, everything about me is golden penny. Your company should not reduce it's quality pls",0.0,0.766,0.234,0.6705,positive
If we are continued to be killed who will buy those products I weep daily when ever I logged on to social media.,0.281,0.719,0.0,-0.8481,negative
How can I be your distributor?,0.0,1.0,0.0,0.0,neutral
"You see that your spaghetti eh,anything way go make Una change the quality eh I render it useless as ""K"" in ""knife""........you're doing well",0.104,0.818,0.078,-0.1779,neutral
Gp should just make me their ambassador kawai because me na Gp chef...,0.0,1.0,0.0,0.0,neutral
How can one be a distributor of ur products?any help ?,0.0,0.766,0.234,0.4696,neutral
My best is spag and vegetable oil,0.0,0.588,0.412,0.6369,positive
I love your products most especially golden penny spaghetti.,0.0,0.656,0.344,0.6369,positive
My golden penny foods one like no other,0.206,0.561,0.234,0.0772,neutral
Best product,0.0,0.192,0.808,0.6369,positive
The spag and semovita is everything for me,0.0,1.0,0.0,0.0,neutral
Your spag is the best of best!!! Unbeatable,0.0,0.393,0.607,0.8827,positive
"The best! Love your indomie...spaghetti, butter....infact all of your products!",0.0,0.471,0.529,0.8745,positive
"Love your product so much,please keep it up",0.0,0.625,0.375,0.6369,positive
The spaghetti is the best,0.0,0.488,0.512,0.6369,positive
I love ur golden penny spaghetti but u guys increase the pack from 250 to 270,0.0,0.716,0.284,0.6757,positive
"Golden penny is my best choice , the aroma is so attractive when ever the are cooking it, if u don't like please try and learn it is best",0.101,0.597,0.302,0.877,positive
"Golden peny butter is very bad,strong and taste like a local groundnut oil",0.0,0.828,0.172,0.3612,neutral
"The advert song sweet me, how  can I download it Gelden penny is best  product in market.",0.0,0.676,0.324,0.802,positive
Golden penny foods forever Tasty!,0.0,1.0,0.0,0.0,neutral
Best and favorite brand thank you golden penny,0.0,0.34,0.66,0.8658,positive
"I love ur spaghetti, macaroni and semovita..",0.0,0.588,0.412,0.6369,positive
"The advert song sweet, how can I download it. Congrats",0.0,0.556,0.444,0.7506,positive
I want to cook the spaghetti and macaroni and it always taste delicious,0.0,0.688,0.312,0.6124,positive
My favorite product......I love it like never before,0.0,0.34,0.66,0.8658,positive
Golden penny is the best food that i like,0.0,0.511,0.489,0.7717,positive
", it just that you people have changed your product not like before especially the semovita I pray this your new products should fine",0.078,0.772,0.151,0.2477,neutral
My golden penny my everything happiest 60th anniversary to my company,0.0,0.704,0.296,0.6369,positive
"The butter I bought yesterday is really watering,I am confused as to consuming it",0.165,0.835,0.0,-0.3744,neutral
Spaghetti and semolina is my best,0.0,0.543,0.457,0.6369,positive
Happy 60th anniversary golden penny Foods more wins,0.0,0.438,0.562,0.8268,positive
Golden penny or no other pasta,0.306,0.694,0.0,-0.296,neutral
Golden penny nice products,0.0,0.517,0.483,0.4215,neutral
Their spaghetti na die I can't do without it is just simple d best pls keep it up,0.16,0.615,0.225,0.1531,neutral
But d butter is a no for me,0.286,0.714,0.0,-0.4215,neutral
"Ur spaghetti ,sugar and semovita  is bea",0.0,1.0,0.0,0.0,neutral
My right hand brand since childhood,0.0,0.61,0.39,0.4939,neutral
Your noodles is not good,0.376,0.624,0.0,-0.3412,neutral
Golden penny is the best. Much love,0.0,0.373,0.627,0.8555,positive
We need this for cooking contest,0.0,1.0,0.0,0.0,neutral
"The spaghetti, semo ...is really good",0.0,0.61,0.39,0.4927,neutral
You are the best golden penny,0.0,0.543,0.457,0.6369,positive
Golden Penny is the best.,0.0,0.488,0.512,0.6369,positive
Ur products is still my top secret,0.0,0.769,0.231,0.2023,neutral
The bread spread is not bad too,0.0,0.678,0.322,0.431,neutral
D spaghetti and semo are,0.0,1.0,0.0,0.0,neutral
"Quality food, feeding the nation everyday",0.0,1.0,0.0,0.0,neutral
Ur products are too cost. Help Nigeria out,0.0,0.722,0.278,0.4019,neutral
"Gdevening ooh,pls ooh am in Enugu and don't seem to see ur products anymore,both in shops, supermarkets and the market places,pls address it ooh",0.0,1.0,0.0,0.0,neutral
My golden penny my everything,0.0,1.0,0.0,0.0,neutral
Golden penny spaghetti is my best,0.0,0.543,0.457,0.6369,positive
Spaghetti top notch,0.0,0.526,0.474,0.2023,neutral
Please I need employment in your company,0.0,0.723,0.277,0.3182,neutral
Golden penny please retain this quality don't change,0.0,0.753,0.247,0.3182,neutral
"Golden penny today, golden penny forever",0.0,1.0,0.0,0.0,neutral
Are u sure this is the way all this Muslim men sit wit their wives to eat? Hmm. That's all I noticed... Their women are usually relegated to d background.,0.0,0.927,0.073,0.3182,neutral
I love golden penny foods is awesome,0.0,0.376,0.624,0.8519,positive
I love golden penny products.,0.0,0.488,0.512,0.6369,positive
Quality products assured especially the spagh and semo,0.0,0.737,0.263,0.3612,neutral
Golden Penny spaghetti is my best,0.0,0.543,0.457,0.6369,positive
Cobv,0.0,1.0,0.0,0.0,neutral
The best so far,0.0,0.417,0.583,0.6369,positive
"True talk, Gpenny more than the best",0.0,0.408,0.592,0.8055,positive
Masha allah I love mom,0.0,0.488,0.512,0.6369,positive
Golden penny product I love,0.0,0.488,0.512,0.6369,positive
Mmmnice,0.0,1.0,0.0,0.0,neutral
I love Golden penny,0.0,0.417,0.583,0.6369,positive
P,0.0,1.0,0.0,0.0,neutral
G,0.0,1.0,0.0,0.0,neutral
Quality products I love them all,0.0,0.543,0.457,0.6369,positive
I can testify,0.0,1.0,0.0,0.0,neutral
Chei!! Wia una dey for Abia State.,0.0,1.0,0.0,0.0,neutral
Vayfukak,0.0,1.0,0.0,0.0,neutral
Golden pasta d best,0.0,0.417,0.583,0.6369,positive
"The best of all,golden Penny",0.0,0.488,0.512,0.6369,positive
Best product ever,0.0,0.323,0.677,0.6369,positive
I like golden penny,0.0,0.545,0.455,0.3612,neutral
My family's choice,0.0,1.0,0.0,0.0,neutral
Nice Quality.,0.0,0.263,0.737,0.4215,neutral
Golden penny I love,0.0,0.417,0.583,0.6369,positive
Wonderful,0.0,0.0,1.0,0.5719,positive
0600053243.,0.0,1.0,0.0,0.0,neutral
Okay,0.0,0.0,1.0,0.2263,neutral
I love this advert,0.0,0.417,0.583,0.6369,positive
Nice advert,0.0,0.263,0.737,0.4215,neutral
Food is good,0.0,0.408,0.592,0.4404,neutral
Ur products are perfectly ok,0.0,0.319,0.681,0.7506,positive
I love that a family eat nice good,0.0,0.336,0.664,0.872,positive
The love life,0.0,0.323,0.677,0.6369,positive
Ilikeit,0.0,1.0,0.0,0.0,neutral
Golden penny is the best,0.0,0.488,0.512,0.6369,positive
I love the song,0.0,0.417,0.583,0.6369,positive
Your products are great,0.0,0.423,0.577,0.6249,positive
T5,0.0,1.0,0.0,0.0,neutral
Golen penny Semovita and Pasta are the best!,0.0,0.609,0.391,0.6696,positive
Una dy try well well,0.0,0.417,0.583,0.4939,neutral
Quality products,0.0,1.0,0.0,0.0,neutral
"Keep it up,l love your products",0.0,0.543,0.457,0.6369,positive
I love  this  video,0.0,0.417,0.583,0.6369,positive
I,0.0,1.0,0.0,0.0,neutral
I love your product so much,0.0,0.543,0.457,0.6369,positive
Love them all.,0.0,0.323,0.677,0.6369,positive
"I love all your product, keep it up",0.0,0.625,0.375,0.6369,positive
Yeaa una pasta is top notch,0.0,0.735,0.265,0.2023,neutral
I love ur product do much .,0.0,0.588,0.412,0.6369,positive
Safe reliant,0.0,0.0,1.0,0.5267,positive
Carry go,0.0,1.0,0.0,0.0,neutral
Normal,0.0,1.0,0.0,0.0,neutral
Food is good owww,0.0,0.508,0.492,0.4404,neutral
Best quality products all the way God bless Gpenny foods & God bless Naija#Feeding the nation,0.0,0.44,0.56,0.9186,positive
Please just keep it up ok,0.0,0.471,0.529,0.5423,positive
I love every of your products I’ve tried,0.0,0.625,0.375,0.6369,positive
Love all your product,0.0,0.417,0.583,0.6369,positive
I love ur spaghetti and macaroni,0.0,0.543,0.457,0.6369,positive
I love Golden Penny product,0.0,0.488,0.512,0.6369,positive
Pls do improve your semovita is not good again,0.191,0.476,0.333,0.2008,neutral
I love the golden penny gaari it very much okay,0.0,0.556,0.444,0.749,positive
The spag is superb,0.0,0.423,0.577,0.6249,positive
Golden penny for life,0.0,1.0,0.0,0.0,neutral
The Best,0.0,0.192,0.808,0.6369,positive
Congratulations . So wetin una go find us for patronizing you for 60 years.,0.0,0.769,0.231,0.5994,positive
Golden penny spaghetti the best,0.0,0.488,0.512,0.6369,positive
Congratulations,0.0,0.0,1.0,0.5994,positive
I love that,0.0,0.323,0.677,0.6369,positive
Am proud of you guys,0.0,0.563,0.437,0.4767,neutral
Congratulations!,0.0,0.0,1.0,0.636,positive
The best spaghetti,0.0,0.323,0.677,0.6369,positive
My favorite pasta,0.0,0.4,0.6,0.4588,neutral
Awesome work Golden penny pasta,0.0,0.494,0.506,0.6249,positive
Best among all,0.0,0.323,0.677,0.6369,positive
"Golden penny pasta, the oga kpata kpata of them all....",0.0,1.0,0.0,0.0,neutral
Come Rivers state too,0.0,1.0,0.0,0.0,neutral
Golden penny spaghetti is the best,0.0,0.543,0.457,0.6369,positive
The best of the best,0.0,0.263,0.737,0.8555,positive
Come to Obafemi Awolowo University,0.0,1.0,0.0,0.0,neutral
Come to Enugu Abakpa,0.0,1.0,0.0,0.0,neutral
My favourite.,0.0,1.0,0.0,0.0,neutral
What time are you guys closing,0.0,1.0,0.0,0.0,neutral
Opporrr,0.0,1.0,0.0,0.0,neutral
The quantity is so small and it's expensive now my family favorite pasta. Please increase the quantity or reduce the price.,0.0,0.703,0.297,0.765,positive
Wow spark I'm the love of spark make me one of your ambassador and I'll be glad because it's my best food to eat,0.0,0.486,0.514,0.9584,positive
If not for spaghetti.,0.0,1.0,0.0,0.0,neutral
I love you golden penny,0.0,0.488,0.512,0.6369,positive
.,0.0,1.0,0.0,0.0,neutral
Alvan is ready,0.0,0.444,0.556,0.3612,neutral
Are guys still in Absu,0.0,1.0,0.0,0.0,neutral
una don try for we Absu students. But I no receive any gift shaa,0.15,0.643,0.206,0.2617,neutral
